127.0.0.1, 2015-05-12 18:14:45, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.001983
127.0.0.1, 2015-05-12 18:14:45, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.002569
127.0.0.1, 2015-05-12 18:14:45, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000391
127.0.0.1, 2015-05-12 18:14:45, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000455
127.0.0.1, 2015-05-12 18:14:45, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000870
127.0.0.1, 2015-05-12 18:14:46, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000249
127.0.0.1, 2015-05-12 18:14:46, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000245
127.0.0.1, 2015-05-12 18:14:46, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000250
127.0.0.1, 2015-05-12 18:14:47, GET, /welcome/default/index, HTTP/1.1, 200, 0.018733
127.0.0.1, 2015-05-12 18:14:47, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000422
127.0.0.1, 2015-05-12 18:14:47, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.000404
127.0.0.1, 2015-05-12 18:14:47, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000385
127.0.0.1, 2015-05-12 18:14:47, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000378
127.0.0.1, 2015-05-12 18:14:47, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000350
127.0.0.1, 2015-05-12 18:14:47, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000351
127.0.0.1, 2015-05-12 18:14:47, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000398
127.0.0.1, 2015-05-12 18:14:47, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000406
127.0.0.1, 2015-05-12 18:14:47, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000367
127.0.0.1, 2015-05-12 18:14:47, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000364
127.0.0.1, 2015-05-12 18:14:47, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000285
127.0.0.1, 2015-05-12 18:14:47, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000427
127.0.0.1, 2015-05-12 18:14:47, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000497
127.0.0.1, 2015-05-12 18:14:47, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000378
